"","x"
"1",0.616477719968622
"2",-0.945526290406771
"3",-0.0337871105406571
"4",-0.119696998901591
"5",6.54100091324619
"6",-0.455577674956359
"7",6.57206013863883
"8",-0.520922014816562
"9",1.13276073910439
"10",6.68607861443459
"11",1.96698493111872
"12",1.4313962012311
"13",-1.77906638476221
"14",6.65304779404847
"15",-0.677131681339903
"16",0.322606596475319
"17",0.232231957604532
"18",-0.250485548383925
"19",6.71556899221149
"20",-0.117829270548227
"21",6.07789986900939
"22",-1.43698774731633
"23",1.23935672023948
"24",6.91823491875078
"25",1.7778773666369
"26",-0.0582129581312842
"27",0.0990904268128796
"28",6.83148795938652
"29",-0.194989508623451
"30",0.383843968744082
"31",-0.156235156098169
"32",0.334476673303052
"33",5.34002017011758
"34",0.477693648305754
"35",6.56029498599939
"36",1.19823004952595
"37",0.08737784767538
"38",5.94876188027123
"39",0.864460292266597
"40",1.71966613608215
"41",2.36254261859453
"42",6.10282805962211
"43",-0.203372272883869
"44",0.0821533604101974
"45",0.635972166643981
"46",0.208335936112352
"47",6.37016174020144
"48",-0.430604402706108
"49",6.7727356590801
"50",0.474586177628372
"51",0.324277847674567
"52",6.74614597011857
"53",2.47572826681155
"54",-0.222755192888371
"55",1.84765392362622
"56",6.60602307172114
"57",0.28230904045986
"58",-0.213434789612186
"59",0.0596948153813315
"60",0.206195929517251
"61",7.1633412867271
"62",0.626408000925193
"63",6.04237228575877
"64",0.0134542398255125
"65",1.50456377100546
"66",6.31972795353011
"67",0.486278253152058
"68",-0.0531685147533725
"69",-0.0102648853332582
"70",6.03817506950686
"71",0.87186410299992
"72",-1.15754561564135
"73",0.214857821814348
"74",0.304872528959296
"75",4.48538974122508
"76",-0.583858783736327
"77",0.0466673335927863
"78",-0.000394715755170708
"79",0.194322552483645
"80",6.83637262534651
"81",-0.196512022534212
"82",0.0500449028296332
"83",-0.312632937739977
"84",5.81071185281815
"85",1.52702583298684
"86",9.01481298516663
"87",0.95454232707661
"88",1.36477408266452
